"Company Name","Primary Contact","Phone Number","Customer Address","Credit Limit","15% Incentive","New Credit Limit"
"Signal Gift Stores","Jean King",7025551838,"8489 Strong St., Las Vegas, NV 83030","$71,800.00","$10,770.00","$82,570.00"
"Gift Depot Inc.","Julie King",2035552570,"25593 South Bay Ln., Bridgewater, CT 97562","$84,300.00","$12,645.00","$96,945.00"
"Canadian Gift Exchange Network","Yoshi  Tamuri","(604) 555-3392","1900 Oak St., Vancouver, BC V3F 2K1","$90,300.00","$13,545.00","$103,845.00"
giftsbymail.co.uk,"Helen  Bennett","(198) 555-8888","Garden House, Cowes, Isle of Wight PO31 7PJ","$93,900.00","$14,085.00","$107,985.00"
"Australian Gift Network, Co","Ben Calaghan",61-7-3844-6555,"31 Duncan St. West End, South Brisbane, Queensland 4101","$51,600.00","$7,740.00","$59,340.00"
"Classic Gift Ideas, Inc","Francisca Cervantes",2155554695,"782 First Street, Philadelphia, PA 71270","$81,100.00","$12,165.00","$93,265.00"
Gifts4AllAges.com,"Juri Yoshido",6175559555,"8616 Spinnaker Dr., Boston, MA 51003","$41,900.00","$6,285.00","$48,185.00"
"Gift Ideas Corp.","Dan Lewis",2035554407,"2440 Pompton St., Glendale, CT 97561","$49,700.00","$7,455.00","$57,155.00"
"The Sharp Gifts Warehouse","Sue Frick",4085553659,"3086 Ingle Ln., San Jose, CA 94217","$77,600.00","$11,640.00","$89,240.00"
FunGiftIdeas.com,"Violeta Benitez",5085552555,"1785 First Street, New Bedford, MA 50553","$85,800.00","$12,870.00","$98,670.00"
